Timestamp, Message
2023/04/05 10:03:21,Activated second display.   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/04/05 10:03:21,Opening attract...
2023/04/05 10:03:22,GameEvent raised: CloseAllWindows
2023/04/05 10:03:22,GameEvent raised: MuralPositionsLoaded
2023/04/05 10:03:22,GameEvent raised: ConfigLoaded
2023/04/05 10:03:22,Initializing from myWebCamTextureToMatHelper...
2023/04/05 10:03:22,Successfully found correct camera.
2023/04/05 10:03:22,NEW webCamTexture ID: -276
2023/04/05 10:03:22,NEW webCamTexture width: 16
2023/04/05 10:03:22,NEW webCamTexture height: 16
2023/04/05 10:03:22,Resetting update count...
